,Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K_9,BB_9,K_BB,H_9,HR_9,WHIP,BABIP,LOB_PCT,FIP
117,배영수,Lions,24,11,11,2.861271676,31,26,2,1,2,0,1,173.0,713,148,61,55,10,48,2,11,14,0,147,7.647398844,2.497109827,3.0625,7.699421965,0.520231214,1.011560694,0.277665996,0.756476684,3.084393064
118,강영식,Lions,24,0,0,4.831573806,60,0,0,0,0,0,7,31.2,149,26,18,17,4,27,0,3,4,0,37,10.67307692,7.788461538,1.37037037,7.5,1.153846154,1.666666667,0.282051282,0.753968254,5.091025641
119,이재우,Bears,25,7,5,1.715718451,76,0,0,0,1,0,28,99.2,403,82,22,19,6,26,2,4,3,0,79,7.16733871,2.358870968,3.038461538,7.439516129,0.544354839,1.300403226,0.263888889,0.868725869,3.17983871
120,이정민,Giants,26,6,7,3.816255857,56,0,0,0,7,0,4,94.1,410,86,41,40,6,47,16,5,7,0,63,6.025504782,4.495217853,1.340425532,8.225292242,0.573857598,1.147715197,0.276816609,0.74845679,4.188310308
121,정재훈,Bears,25,1,6,2.089285714,51,0,0,0,30,0,0,56.0,231,38,15,13,2,22,6,5,1,0,60,9.642857143,3.535714286,2.727272727,6.107142857,0.321428571,0.928571429,0.253521127,0.803858521,2.7
122,조태수,Tigers,22,0,1,5.75,25,1,0,0,0,0,1,36.0,169,47,27,23,9,14,0,3,2,0,27,6.75,3.5,1.928571429,11.75,2.25,2.777777778,0.327586207,0.719844358,6.116666667
123,장원준,Giants,19,5,6,5.114922708,28,20,1,0,0,0,1,107.1,477,105,65,61,9,53,2,5,2,0,79,6.638655462,4.453781513,1.490566038,8.823529412,0.756302521,1.41923436,0.290030211,0.651595745,4.301774043
124,랜들,Bears,28,12,7,3.247208642,29,26,1,1,0,0,0,149.2,658,163,59,54,18,47,1,15,3,0,111,6.695710456,2.835120643,2.361702128,9.832439678,1.085790885,1.414209115,0.310492505,0.830830831,4.225469169
125,손승락,Unicorns,23,5,10,5.426812774,26,23,1,0,0,0,0,134.1,599,154,81,81,18,48,0,10,6,1,80,5.369127517,3.22147651,1.666666667,10.33557047,1.208053691,1.580909769,0.306997743,0.701284797,4.825652498
126,박명환,Bears,28,11,3,2.964400483,20,20,0,0,0,0,0,112.1,473,81,40,37,4,58,0,6,17,0,113,9.072256913,4.656556646,1.948275862,6.503122212,0.321141838,1.061552186,0.26369863,0.753228121,3.2
127,손민한,Giants,30,18,7,2.45941092,28,26,1,0,1,0,0,168.1,678,149,54,46,9,38,2,2,4,0,105,5.621653778,2.034503272,2.763157895,7.977394408,0.481856038,1.207614515,0.267175573,0.765306122,3.32492564
128,이혜천,Bears,26,7,4,3.951231552,30,21,1,1,0,0,3,109.1,479,105,58,48,10,54,1,7,4,1,59,4.867094409,4.454628781,1.092592593,8.661778185,0.824931256,1.429880843,0.272206304,0.710526316,4.794867094
129,이승호,Twins,23,5,10,5.513513514,23,20,1,1,0,0,0,111.0,509,122,73,68,15,51,1,3,4,0,94,7.621621622,4.135135135,1.843137255,9.891891892,1.216216216,1.279279279,0.309248555,0.664516129,4.641441441
130,최향남,Tigers,34,2,5,4.103996869,12,9,0,0,1,0,0,41.2,184,39,20,19,5,20,0,4,2,0,31,6.77184466,4.368932039,1.55,8.519417476,1.09223301,0.946601942,0.274193548,0.767857143,4.729126214
0,리오스,Bears,33,12,16,2.896995708,34,33,4,1,0,0,0,233.0,945,204,86,75,14,49,1,15,8,0,145,5.600858369,1.892703863,2.959183673,7.879828326,0.540772532,1.098712446,0.263157895,0.732689211,3.367381974
1,류현진,Eagles,19,18,6,2.231401188,30,28,6,1,1,0,0,201.2,800,159,57,50,11,52,3,2,6,0,204,9.125248509,2.326043738,3.923076923,7.112326044,0.492047714,0.92445328,0.278719397,0.789473684,2.658250497
2,윤석민,Tigers,19,5,6,2.281689283,63,0,0,0,19,4,9,94.2,381,81,26,24,5,27,3,4,5,0,75,7.165605096,2.579617834,2.777777778,7.738853503,0.477707006,0.987261146,0.281481481,0.819047619,3.157537155
3,텔레마코,Twins,32,1,3,5.04,7,7,0,0,0,0,0,25.0,109,25,18,14,4,12,0,1,1,0,11,3.96,4.32,0.916666667,9.0,1.44,1.48,0.259259259,0.617283951,5.84
4,오승환,Lions,23,4,3,1.588236007,63,0,0,0,47,5,0,79.1,289,43,15,14,1,12,0,1,2,0,109,12.40202276,1.365360303,9.083333333,4.892541087,0.113780025,0.872313527,0.253012048,0.750915751,1.06346397
